source,license,license_status,training_allowed,split,label,categories,path,sha256,group_id,dataset_fingerprint
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr103_jpg.rf.49c2e1fb7088b11b48a46d21d0deefc2.jpg,efe5908b6a1fee3215ecc64d9fd4933e723de4a6c91d2b9c5fc25316711c33a6,onion-coco-mmdetection:img_tr103_jpg.rf.49c2e1fb7088b11b48a46d21d0deefc2.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr103_jpg.rf.f24f8e0fc2f87b450fd32e54f29f1281.jpg,bf88edc4aee38241fcbb3d3defb897a8bb22808fe2500aad0edc0f8ef32d3413,onion-coco-mmdetection:img_tr103_jpg.rf.f24f8e0fc2f87b450fd32e54f29f1281.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr110_png_jpg.rf.f586fb318d8df69dd9a6d5fcd0248743.jpg,f550d95ed43c56df6f673a953ebbc35adfee0890974b7eec70db97913b4a4eee,onion-coco-mmdetection:img_tr110_png_jpg.rf.f586fb318d8df69dd9a6d5fcd0248743.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr115_png_jpg.rf.c929ebfa086e2837ed3d572ff43fd283.jpg,7987b1f91b96ef90f3a0afd0cadc0b6a20a2194a945746212402dcdbdd7f0470,onion-coco-mmdetection:img_tr115_png_jpg.rf.c929ebfa086e2837ed3d572ff43fd283.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr115_png_jpg.rf.d796053dd8e1194702e70bf4a9dc68b4.jpg,89e583807f046b0a30499b33f66d001f7327b0d989530a2c7181c3c95fe74e94,onion-coco-mmdetection:img_tr115_png_jpg.rf.d796053dd8e1194702e70bf4a9dc68b4.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr118_jpg.rf.e221d45a88182338f2d16be8679bcc9b.jpg,54c3c78e40d3bde2e7dabae5ccffaa0893b987252a4af68d66c216ce3c0965ad,onion-coco-mmdetection:img_tr118_jpg.rf.e221d45a88182338f2d16be8679bcc9b.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr119_jpg.rf.4ba511de8bc535d6ff1a8844dc092073.jpg,0ac6ecbbefa5a1c19e6d978c875e68de88c77e5246ebdcef5e913694a63a9070,onion-coco-mmdetection:img_tr119_jpg.rf.4ba511de8bc535d6ff1a8844dc092073.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr124_jpg.rf.94327fbd545f208fda4236dd09ab95c9.jpg,09621f4e3fe1c3efcaeeb94fbcea4a29b7cc4bd805f31b6b87741eb815ef9185,onion-coco-mmdetection:img_tr124_jpg.rf.94327fbd545f208fda4236dd09ab95c9.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr126_jpg.rf.81cce49c4dc04063d96c213adddce26e.jpg,50161960a3904ccd02e9a55b956b43c10c5a836be0da77718fd87a33097f499d,onion-coco-mmdetection:img_tr126_jpg.rf.81cce49c4dc04063d96c213adddce26e.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr128_jpg.rf.2de06084d1aafbbfbead48b59b64615e.jpg,e8d4f0ecaab3836da1923fe039ac227f89d1024243ea89391b4e42c83e3c6eee,onion-coco-mmdetection:img_tr128_jpg.rf.2de06084d1aafbbfbead48b59b64615e.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten,rotten,dataset/part-001/onion-coco-mmdetection/train/img_tr128_jpg.rf.3ab17c9a78e02d60bb29dfcd1d2a9d9f.jpg,490e740c7c5926b35df1f0d62d4d649bdafd6a58d687c0edcc121bccf810eaa8,onion-coco-mmdetection:img_tr128_jpg.rf.3ab17c9a78e02d60bb29dfcd1d2a9d9f.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|sprout,sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr130_jpg.rf.7d9edaa11cfa4b3cf98ac0b9b891d6e8.jpg,4ba52dd4dfe91abb31e9d227f22aee3e8185d3ad04a1be3de6daa12234deb1d4,onion-coco-mmdetection:img_tr130_jpg.rf.7d9edaa11cfa4b3cf98ac0b9b891d6e8.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr134_jpg.rf.7bdb4ec4df88b4411d93cb52d4932d97.jpg,6e894f8ae8e4d1932c2db41e3b0461ae4581fd3c684394e75bee54b8d25b0e07,onion-coco-mmdetection:img_tr134_jpg.rf.7bdb4ec4df88b4411d93cb52d4932d97.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr136_jpg.rf.db429dfdefd2209606c5a7c82a63af97.jpg,3336d29f6fdc0375332b8a09b8af941e9d44c7633cb213b180a75927cc6fb8e7,onion-coco-mmdetection:img_tr136_jpg.rf.db429dfdefd2209606c5a7c82a63af97.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr137_jpg.rf.608d33a04dabf5e985c30b74b0caf399.jpg,16a50afa016a0be60cda10184df1389460969a9c430f4f01d2b37d6b6931789c,onion-coco-mmdetection:img_tr137_jpg.rf.608d33a04dabf5e985c30b74b0caf399.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|rotten|sprout,rotten|sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr139_jpg.rf.663f41b65d23b181d74443ee6c4510f0.jpg,7076435680843aef97e64b52d6ee77ad1948075076f34aafe2910776c505fa46,onion-coco-mmdetection:img_tr139_jpg.rf.663f41b65d23b181d74443ee6c4510f0.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
onion-coco-mmdetection,Public Domain,verified,True,test,is_onion|sprout,sprout,dataset/part-001/onion-coco-mmdetection/train/img_tr13_png_jpg.rf.b3ceb69b0bd63bfe9153257317f5b64c.jpg,993d0005c51eb4caf0f04d2105f17987cc9610cc31b1ed14c1db7a0cd5311d87,onion-coco-mmdetection:img_tr13_png_jpg.rf.b3ceb69b0bd63bfe9153257317f5b64c.jpg,2443539beb938064b6f2e1e0594c000b31da519d8f2f017b0beb878ad8c3507b
